"URL","Path","Title","Meta Description","Canonical URL","Schemas Present","Status"
"https://www.mansarafoods.com/product/ultimate-wellness-combo-5-mixes","/product/ultimate-wellness-combo-5-mixes","Ultimate Wellness Combo (5 Mixes) | Health Mix | Mansara ...","All 5 Premium Porridge Mixes (Excludes Idly Podi)","https://www.mansarafoods.com/product/ultimate-wellness-combo-5-mixes","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/ragi-choco-malt","/product/ragi-choco-malt","Ragi Choco Malt | Health Mix | Mansara Foods","Mansara Ragi Choco Malt is a nutritious health drink mix that combines the powerhouse nutrition of Ragi (Finger Millet) with the irresistible taste of","https://www.mansarafoods.com/product/ragi-choco-malt","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/nutrimix-super-health-mix","/product/nutrimix-super-health-mix","Nutriminix – Multi Grain Health Mix | Health Mix | Mansar...","A traditional 27-ingredient multi-grain health mix designed for complete family nutrition and strength. A traditional 27 ingredient multigrain health","https://www.mansarafoods.com/product/nutrimix-super-health-mix","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/traditional-idly-podi","/product/traditional-idly-podi","Idly Podi – Traditional | Health Mix | Mansara Foods","Mansara Traditional Idly Podi (Classic Gunpowder) is an authentic South Indian breakfast condiment expertly blended to bring the genuine taste of home","https://www.mansarafoods.com/product/traditional-idly-podi","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/home-style-paruppu-podi","/product/home-style-paruppu-podi","Home Style Paruppu Podi | Health Mix | Mansara Foods","Mansara Home Style Paruppu Podi is a wholesome, protein-dense lentil spice powder formulated to recreate the comforting flavor of traditional South In","https://www.mansarafoods.com/product/home-style-paruppu-podi","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/karuveppillai-special","/product/karuveppillai-special","Curry Leaves Rice Podi Mix | Health Mix | Mansara Foods","Mansara Curry Leaves Rice Podi Mix (Karuveppillai Special) is an authentic South Indian herb-and-lentil condiment crafted from farm-fresh curry leaves","https://www.mansarafoods.com/product/karuveppillai-special","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/kotha-malli-aroma","/product/kotha-malli-aroma","Coriander Rice Podi Mix | Health Mix | Mansara Foods","Mansara Coriander Rice Podi Mix (Kothamalli Aroma) brings together the soothing, citrusy fragrance of roasted coriander seeds (Dhaniya) and wholesome","https://www.mansarafoods.com/product/kotha-malli-aroma","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/murungai-vital","/product/murungai-vital","Moringa Rice Podi Mix | Health Mix | Mansara Foods","Mansara Moringa Rice Podi Mix (Murungai Vital) infuses the powerhouse nutrition of fresh drumstick leaves (Murungai Keerai) with slow-roasted lentils","https://www.mansarafoods.com/product/murungai-vital","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/product/pirandai-power","/product/pirandai-power","Pirandai Rice Podi Mix | Health Mix | Mansara Foods","Mansara Pirandai Rice Podi Mix (Pirandai Power) is a specialized herbal-lentil blend featuring fresh Pirandai (Veldt Grape / Cissus quadrangularis), a","https://www.mansarafoods.com/product/pirandai-power","Organization; Product; BreadcrumbList","PASS"
"https://www.mansarafoods.com/blog/health-mix-for-babies-and-kids","/blog/health-mix-for-babies-and-kids","Sathu Maavu for Babies &amp; Kids: Complete Guide to Traditio...","Discover why traditional sprouted sathu maavu is the best health mix for infants, growing toddlers, and lactating mothers.","https://www.mansarafoods.com/blog/health-mix-for-babies-and-kids","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/blog/health-mix-for-weight-loss","/blog/health-mix-for-weight-loss","High Fiber &amp; Protein Rich Health Mix for Sustainable Weig...","Learn how incorporating traditional high-fiber porridge mixes into your morning routine supports metabolism, satiety, and fat loss.","https://www.mansarafoods.com/blog/health-mix-for-weight-loss","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/blog/millet-mix-for-diabetics","/blog/millet-mix-for-diabetics","Low GI Millet Porridge Mix for Diabetics &amp; Senior Health ...","Discover how low glycemic index millets and urad porridge mixes help seniors and diabetic individuals manage blood sugar levels naturally.","https://www.mansarafoods.com/blog/millet-mix-for-diabetics","Organization; BreadcrumbList","PASS"
"https://www.mansarafoods.com/blog/international-shipping-south-indian-food","/blog/international-shipping-south-indian-food","Buy Sathu Maavu &amp; Authentic Idly Podi Online in USA &amp; Wor...","Learn how Tamil diaspora and NRI families in the USA, UK, UAE, and Europe can order authentic, export-compliant South Indian health mixes online.","https://www.mansarafoods.com/blog/international-shipping-south-indian-food","Organization; BreadcrumbList","PASS"
